,article_title,country,population,region,article_quality,revision_id
1195,Bernard Njonga,Cameroon,27.9,MIDDLE AFRICA,Stub,1098278415.0
1196,Arouna N'Joya,Cameroon,27.9,MIDDLE AFRICA,Stub,1115899509.0
1197,Edouard Nomo-Ongolo,Cameroon,27.9,MIDDLE AFRICA,Stub,1115394556.0
1198,Antoine Ntsimi,Cameroon,27.9,MIDDLE AFRICA,C,1021211954.0
1199,André Ngongang Ouandji,Cameroon,27.9,MIDDLE AFRICA,Stub,1021209594.0
1200,Paul Pondi,Cameroon,27.9,MIDDLE AFRICA,C,1021211934.0
1201,Félix Sabal Lecco (politician),Cameroon,27.9,MIDDLE AFRICA,C,1051804573.0
1202,François Sengat-Kuo,Cameroon,27.9,MIDDLE AFRICA,Stub,1021210005.0
1203,Félix Tonye Mbog,Cameroon,27.9,MIDDLE AFRICA,Start,1097564213.0
1204,Kah Walla,Cameroon,27.9,MIDDLE AFRICA,GA,1092436663.0
1205,José Manuel Gomes Andrade,Cape Verde,0.6,WESTERN AFRICA,Stub,1081053284.0
1206,Honório Barreto,Cape Verde,0.6,WESTERN AFRICA,Start,973826987.0
1207,Fernando Elísio Freire,Cape Verde,0.6,WESTERN AFRICA,Start,1069455161.0
1208,Pedro Fernandes Lopes,Cape Verde,0.6,WESTERN AFRICA,C,1084646808.0
1209,Paulo Rocha (Cape Verde politician),Cape Verde,0.6,WESTERN AFRICA,Stub,1093958730.0
1210,Arlindo do Rosário,Cape Verde,0.6,WESTERN AFRICA,Stub,1101613422.0
1211,Gilberto Correia Carvalho Silva,Cape Verde,0.6,WESTERN AFRICA,Stub,1101613548.0
1212,Luís Filipe Tavares,Cape Verde,0.6,WESTERN AFRICA,Start,1065001801.0
1213,Carlos de Vasconcelos,Cape Verde,0.6,WESTERN AFRICA,Start,1093959761.0
1214,Abraão Vicente,Cape Verde,0.6,WESTERN AFRICA,Stub,1059495714.0
1215,Alexandre Banza,Central African Republic,5.6,MIDDLE AFRICA,GA,1112157049.0
1216,Jean-Bédel Bokassa,Central African Republic,5.6,MIDDLE AFRICA,GA,1113784938.0
1217,Antoine Darlan,Central African Republic,5.6,MIDDLE AFRICA,C,1070323425.0
1218,Georges Darlan,Central African Republic,5.6,MIDDLE AFRICA,C,1090255799.0
1219,Catherine Denguiadé,Central African Republic,5.6,MIDDLE AFRICA,Start,1113661673.0
1220,Henri-Marie Dondra,Central African Republic,5.6,MIDDLE AFRICA,Stub,1112811274.0
1221,Saif Durbar,Central African Republic,5.6,MIDDLE AFRICA,C,1033150087.0
1222,Hassan Al Habib,Central African Republic,5.6,MIDDLE AFRICA,Stub,988829581.0
1223,Rodolphe Iddi Lala,Central African Republic,5.6,MIDDLE AFRICA,C,1115556145.0
1224,Désiré Kolingba,Central African Republic,5.6,MIDDLE AFRICA,Stub,1100414331.0
1225,Karim Meckassoua,Central African Republic,5.6,MIDDLE AFRICA,Stub,1042724644.0
1226,Abakar Sabon,Central African Republic,5.6,MIDDLE AFRICA,Stub,1062856588.0
1227,Levy Yakete,Central African Republic,5.6,MIDDLE AFRICA,Stub,1036618742.0
1228,Achta Ahmat Bremé,Chad,17.7,MIDDLE AFRICA,Stub,1100448797.0
1229,Mohamed Bechir-Sow,Chad,17.7,MIDDLE AFRICA,Stub,1112094658.0
1230,Christian Georges Diguimbaye,Chad,17.7,MIDDLE AFRICA,Stub,1106463141.0
1231,Firmin Djidingar,Chad,17.7,MIDDLE AFRICA,Stub,1054942760.0
1232,Roger Djikisna,Chad,17.7,MIDDLE AFRICA,Stub,1010288821.0
1233,Arabi El Goni,Chad,17.7,MIDDLE AFRICA,Stub,1050732839.0
1234,Acheikh Ibn-Oumar,Chad,17.7,MIDDLE AFRICA,Start,1115564327.0
1235,Hinda Déby Itno,Chad,17.7,MIDDLE AFRICA,Start,1111863464.0
1236,Mahamat Djarma Khatir,Chad,17.7,MIDDLE AFRICA,Stub,952741451.0
1237,Oueddei Kichidemi,Chad,17.7,MIDDLE AFRICA,Start,1096370089.0
1238,Alphonse Kotiga,Chad,17.7,MIDDLE AFRICA,Stub,1108077983.0
1239,Baba Laddé,Chad,17.7,MIDDLE AFRICA,C,1106278873.0
1240,Nadji Madou,Chad,17.7,MIDDLE AFRICA,Stub,872461806.0
1241,Mariam Mahamat Nour,Chad,17.7,MIDDLE AFRICA,Stub,1077898049.0
1242,Laoukein Kourayo Médard,Chad,17.7,MIDDLE AFRICA,Stub,872513852.0
1243,Abbo Nassour,Chad,17.7,MIDDLE AFRICA,C,1115564144.0
1244,Tahir Hamid Nguilin,Chad,17.7,MIDDLE AFRICA,Stub,1085015143.0
1245,Gontchomé Sahoulba,Chad,17.7,MIDDLE AFRICA,Start,1100566547.0
1246,Quatre Sou Quatre,Chad,17.7,MIDDLE AFRICA,Stub,1010289028.0
1247,Djimadoum Tiraina,Chad,17.7,MIDDLE AFRICA,Stub,1112094593.0
1248,Saadie Goukouni Weddeye,Chad,17.7,MIDDLE AFRICA,Start,1115480119.0
1249,Patricio Achurra,Chile,19.8,SOUTH AMERICA,Start,1063051282.0
1250,Hermes Ahumada,Chile,19.8,SOUTH AMERICA,Stub,1061888618.0
1251,Felipe Alessandri,Chile,19.8,SOUTH AMERICA,Stub,1115021687.0
1252,Lidia Amarales,Chile,19.8,SOUTH AMERICA,Start,1109042122.0
1253,Ximena Anza,Chile,19.8,SOUTH AMERICA,Start,1107215667.0
1254,Aurora Argomedo,Chile,19.8,SOUTH AMERICA,Start,1060990009.0
1255,Claudio Arredondo,Chile,19.8,SOUTH AMERICA,Start,1098030047.0
1256,Francisco Astaburuaga Cienfuegos,Chile,19.8,SOUTH AMERICA,Stub,1097538961.0
1257,Camilo Ballesteros,Chile,19.8,SOUTH AMERICA,Start,1097131738.0
1258,Jaime Bassa,Chile,19.8,SOUTH AMERICA,Start,1097539409.0
1259,Alexandra Benado,Chile,19.8,SOUTH AMERICA,Start,1096936718.0
1260,Alexandra Benado,Chile,19.8,SOUTH AMERICA,Start,1096936718.0
1261,Alexandra Benado,Sweden,10.5,NORTHERN EUROPE,Start,1096936718.0
1262,Alexandra Benado,Sweden,10.5,NORTHERN EUROPE,Start,1096936718.0
1263,Diego José Benavente,Chile,19.8,SOUTH AMERICA,Stub,1069288880.0
1264,Harald Beyer (politician),Chile,19.8,SOUTH AMERICA,Stub,1094177814.0
1265,José Luis Cabión,Chile,19.8,SOUTH AMERICA,Start,1111860853.0
1266,Mauricio Cataldo,Chile,19.8,SOUTH AMERICA,Start,1115156426.0
1267,Juan Chandía,Chile,19.8,SOUTH AMERICA,Stub,1085403808.0
1268,Eduardo Charme,Chile,19.8,SOUTH AMERICA,Stub,1037350216.0
1269,Fernando Cordero Rusque,Chile,19.8,SOUTH AMERICA,Stub,1103478298.0
1270,Juan de Dios Correa de Saa,Chile,19.8,SOUTH AMERICA,Stub,1037542204.0
1271,Álvaro Covarrubias,Chile,19.8,SOUTH AMERICA,Start,1087840742.0
1272,Miguel Cruchaga Tocornal,Chile,19.8,SOUTH AMERICA,Stub,1061889467.0
1273,Pedro Nolasco Cruz Vergara,Chile,19.8,SOUTH AMERICA,C,1097565855.0
1274,Mario Desbordes,Chile,19.8,SOUTH AMERICA,C,1112783373.0
1275,Jorge Dip,Chile,19.8,SOUTH AMERICA,Start,1095852077.0
1276,Jose Fernandez Dubrock,Chile,19.8,SOUTH AMERICA,Stub,1095758707.0
1277,Julio Durán,Chile,19.8,SOUTH AMERICA,Stub,1097570287.0
1278,Adolfo Eastman,Chile,19.8,SOUTH AMERICA,Stub,1038273100.0
1279,Rojo Edwards,Chile,19.8,SOUTH AMERICA,Start,1115021831.0
1280,Juan Egaña,Chile,19.8,SOUTH AMERICA,Stub,1060973836.0
1281,Diego Elizondo Prado,Chile,19.8,SOUTH AMERICA,Stub,1037492111.0
1282,José Maza Fernández,Chile,19.8,SOUTH AMERICA,Start,1097589388.0
1283,Ángel Flisfisch,Chile,19.8,SOUTH AMERICA,Start,1111776342.0
1284,"Pablo Galdames (footballer, born 1974)",Chile,19.8,SOUTH AMERICA,Start,1103181135.0
1285,Jaime Gazmuri,Chile,19.8,SOUTH AMERICA,C,1110097739.0
1286,Isabel Godoy,Chile,19.8,SOUTH AMERICA,Start,1036631728.0
1287,Lidia González,Chile,19.8,SOUTH AMERICA,Start,1090166891.0
1288,Hugo Gutiérrez Gálvez,Chile,19.8,SOUTH AMERICA,Stub,1088424535.0
1289,"David Henríquez (footballer, born 1977)",Chile,19.8,SOUTH AMERICA,Start,1106626625.0
1290,Alejandra Bravo Hidalgo,Chile,19.8,SOUTH AMERICA,C,1097579028.0
1291,Checho Hirane,Chile,19.8,SOUTH AMERICA,Stub,1077893937.0
1292,Aucán Huilcamán,Chile,19.8,SOUTH AMERICA,Stub,1049163977.0
1293,Daniel Jadue,Chile,19.8,SOUTH AMERICA,GA,1115056871.0
1294,Liliana Jadue,Chile,19.8,SOUTH AMERICA,Start,1108033983.0
1295,Felipe Kast,Chile,19.8,SOUTH AMERICA,Start,1115707992.0
1296,José Rafael Larraín,Chile,19.8,SOUTH AMERICA,Stub,1051093031.0
1297,Fernando Lazcano Echaurren,Chile,19.8,SOUTH AMERICA,Stub,1037353335.0
1298,Antonio Leal Labrín,Chile,19.8,SOUTH AMERICA,Stub,1101221172.0
1299,Carlos Maldonado Curti,Chile,19.8,SOUTH AMERICA,Start,1108666802.0
1300,Enrique Maluenda,Chile,19.8,SOUTH AMERICA,C,1111424266.0
1301,Graciela Mandujano,Chile,19.8,SOUTH AMERICA,Start,1063237992.0
1302,Nicolás Marambio,Chile,19.8,SOUTH AMERICA,Stub,1061889202.0
1303,María de los Ángeles de la Paz Riveros,Chile,19.8,SOUTH AMERICA,Start,1109014330.0
1304,María Silvia Correa Marín,Chile,19.8,SOUTH AMERICA,Start,1115090404.0
1305,Juan José Martin Bravo,Chile,19.8,SOUTH AMERICA,Start,1084670911.0
1306,Ricardo Matte,Chile,19.8,SOUTH AMERICA,Stub,1062948637.0
1307,Sergio Melnick,Chile,19.8,SOUTH AMERICA,Stub,1076225732.0
1308,Adolfo Millabur,Chile,19.8,SOUTH AMERICA,Start,1069138774.0
1309,Vlado Mirosevic,Chile,19.8,SOUTH AMERICA,C,1108584301.0
1310,José Musalem Saffie,Chile,19.8,SOUTH AMERICA,Stub,1108500041.0
1311,Silvestre Ochagavía Echaurren,Chile,19.8,SOUTH AMERICA,Stub,1037355246.0
1312,Manuel Ossa Ruiz,Chile,19.8,SOUTH AMERICA,Start,986980123.0
1313,Manuel José Ossandón,Chile,19.8,SOUTH AMERICA,Start,1083220118.0
1314,Enrique Oyarzún Mondaca,Chile,19.8,SOUTH AMERICA,Stub,1037344949.0
1315,Luis Palacios Rossini,Chile,19.8,SOUTH AMERICA,Stub,1097606858.0
1316,Héctor Parra (footballer),Chile,19.8,SOUTH AMERICA,C,1114844859.0
1317,Guillermo Pérez de Arce,Chile,19.8,SOUTH AMERICA,Stub,1061888273.0
1318,Bernhard Eunom Philippi,Chile,19.8,SOUTH AMERICA,Start,1030957748.0
1319,Germán Picó Cañas,Chile,19.8,SOUTH AMERICA,Start,1097609170.0
1320,Tancredo Pinochet,Chile,19.8,SOUTH AMERICA,Start,1040302707.0
1321,Jaime Pizarro,Chile,19.8,SOUTH AMERICA,Start,1115152029.0
1322,Roberto Poblete,Chile,19.8,SOUTH AMERICA,Start,1060171802.0
1323,Jenaro Prieto,Chile,19.8,SOUTH AMERICA,Stub,1037392606.0
1324,Catalina Pulido,Chile,19.8,SOUTH AMERICA,Start,1073813699.0
1325,Bárbara Rebolledo,Chile,19.8,SOUTH AMERICA,Start,1068434440.0
1326,Patricio Rey Sommer,Chile,19.8,SOUTH AMERICA,Stub,1084819799.0
1327,Jennifer Rojas,Chile,19.8,SOUTH AMERICA,Start,1096045044.0
1328,Sergio Romero Pizarro,Chile,19.8,SOUTH AMERICA,Stub,1061890038.0
1329,Marcela Sabat,Chile,19.8,SOUTH AMERICA,Stub,1084348581.0
1330,Miguel Schweitzer Walters,Chile,19.8,SOUTH AMERICA,Start,1097635165.0
1331,Bárbara Sepúlveda Hales,Chile,19.8,SOUTH AMERICA,Stub,1104248309.0
1332,Loreto Silva,Chile,19.8,SOUTH AMERICA,Start,1011248294.0
1333,Waldo Silva,Chile,19.8,SOUTH AMERICA,Stub,1037354612.0
1334,Isidro Solís,Chile,19.8,SOUTH AMERICA,Stub,1103628118.0
1335,Ramón Subercaseaux Vicuña,Chile,19.8,SOUTH AMERICA,C,1089081472.0
1336,Manuel Antonio Tocornal,Chile,19.8,SOUTH AMERICA,Stub,1037489055.0
1337,José Francisco Urrejola,Chile,19.8,SOUTH AMERICA,Stub,1069290613.0
1338,Francisco Valdés Vergara,Chile,19.8,SOUTH AMERICA,Stub,1037357324.0
1339,Margarita Vargas López,Chile,19.8,SOUTH AMERICA,C,1104834588.0
1340,Ramón Vega Hidalgo,Chile,19.8,SOUTH AMERICA,Stub,988502241.0
1341,Leonardo Véliz,Chile,19.8,SOUTH AMERICA,Start,1115103114.0
1342,Juan de Dios Vial del Río,Chile,19.8,SOUTH AMERICA,Stub,1101140615.0
1343,Hernán Videla Lira,Chile,19.8,SOUTH AMERICA,Stub,1061888375.0
1344,Carlos Walker Martínez,Chile,19.8,SOUTH AMERICA,Start,1097644966.0
1345,Chris Watson,Chile,19.8,SOUTH AMERICA,FA,1110011348.0
1346,Sergio Zarzar Andonie,Chile,19.8,SOUTH AMERICA,Start,1037723664.0
1347,Hugo Zepeda Barrios,Chile,19.8,SOUTH AMERICA,Stub,1083240431.0
1348,Lu Feng (politician),China,1436.6,EAST ASIA,Stub,1099564364.0
1349,Zhang Lin (general),China,1436.6,EAST ASIA,Stub,1107852480.0
1350,José Manuel Restrepo Abondano,Colombia,49.1,SOUTH AMERICA,C,1115905258.0
1351,Yahir Acuña,Colombia,49.1,SOUTH AMERICA,Stub,1032240920.0
1352,Iván Darío Agudelo,Colombia,49.1,SOUTH AMERICA,Start,1098122834.0
1353,Carlos Mario Álvarez,Colombia,49.1,SOUTH AMERICA,Stub,1088725993.0
1354,Julio Arboleda Pombo,Colombia,49.1,SOUTH AMERICA,Stub,1012185591.0
1355,Germán Blanco Álvarez,Colombia,49.1,SOUTH AMERICA,Start,1111020487.0
1356,Manuel José Bonnet,Colombia,49.1,SOUTH AMERICA,Stub,1087063772.0
1357,Gloria María Borrero,Colombia,49.1,SOUTH AMERICA,Stub,1098124330.0
1358,José Eusebio Caro,Colombia,49.1,SOUTH AMERICA,Stub,1089000402.0
1359,Iván Cepeda,Colombia,49.1,SOUTH AMERICA,Start,1104834600.0
1360,Vicky Colbert,Colombia,49.1,SOUTH AMERICA,Start,1091117036.0
1361,Alfredo Cuello Baute,Colombia,49.1,SOUTH AMERICA,Start,1069156229.0
1362,Alfonso Dávila Ortiz,Colombia,49.1,SOUTH AMERICA,C,1113714301.0
1363,Luis Eduardo Díaz Granados,Colombia,49.1,SOUTH AMERICA,Stub,1110442663.0
1364,Olga Duque de Ospina,Colombia,49.1,SOUTH AMERICA,Stub,1109585707.0
1365,Eduardo Enríquez Maya,Colombia,49.1,SOUTH AMERICA,Stub,1098426482.0
1366,Miguel Amín Escaf,Colombia,49.1,SOUTH AMERICA,Stub,1093469846.0
1367,Juan Carlos Esguerra Portocarrero,Colombia,49.1,SOUTH AMERICA,Stub,1098142521.0
1368,Juan García del Río,Colombia,49.1,SOUTH AMERICA,Stub,1093469869.0
1369,Daniel García-Peña,Colombia,49.1,SOUTH AMERICA,Start,1115014530.0
1370,Enrique Gil Botero,Colombia,49.1,SOUTH AMERICA,GA,1098143608.0
1371,Guillermo González (politician),Colombia,49.1,SOUTH AMERICA,Stub,1100266370.0
1372,Bernardo Guerra Serna,Colombia,49.1,SOUTH AMERICA,Stub,1098592157.0
1373,Carlos Mauro Hoyos,Colombia,49.1,SOUTH AMERICA,C,1093469494.0
1374,Augusto Ibáñez Guzmán,Colombia,49.1,SOUTH AMERICA,Start,1110600534.0
1375,Gilma Jiménez,Colombia,49.1,SOUTH AMERICA,Stub,1069225684.0
1376,Roberto Junguito,Colombia,49.1,SOUTH AMERICA,Stub,1101933538.0
1377,Maria Claudia Lacouture,Colombia,49.1,SOUTH AMERICA,Start,967534978.0
1378,Rodrigo Lara,Colombia,49.1,SOUTH AMERICA,C,1108143692.0
1379,Rodrigo Hernán Lloreda Caicedo,Colombia,49.1,SOUTH AMERICA,Start,1098157236.0
1380,Francisco José Lloreda Mera,Colombia,49.1,SOUTH AMERICA,C,1115843253.0
1381,Fernando Londoño,Colombia,49.1,SOUTH AMERICA,Start,1108751103.0
1382,Jorge Eduardo Londoño,Colombia,49.1,SOUTH AMERICA,Stub,1106087943.0
1383,Lorenzo Muelas,Colombia,49.1,SOUTH AMERICA,Start,1108518143.0
1384,David Luna Sánchez,Colombia,49.1,SOUTH AMERICA,Stub,1105236330.0
1385,Iván Marulanda,Colombia,49.1,SOUTH AMERICA,Start,1099901662.0
1386,Carlos Eduardo Medellín Becerra,Colombia,49.1,SOUTH AMERICA,Start,1101582912.0
1387,Germán Montoya Vélez,Colombia,49.1,SOUTH AMERICA,Stub,1028093034.0
1388,Narciso Matus Torres,Colombia,49.1,SOUTH AMERICA,Stub,1093468993.0
1389,Elsa Noguera,Colombia,49.1,SOUTH AMERICA,Stub,1113697578.0
1390,Antonio Ordoñez-Plaja,Colombia,49.1,SOUTH AMERICA,Stub,1069205558.0
1391,Fernando Ospina Hernández,Colombia,49.1,SOUTH AMERICA,Stub,1099438511.0
1392,Enrique Parejo González,Colombia,49.1,SOUTH AMERICA,Stub,1102081415.0
1393,Carlos Pizarro Leongómez,Colombia,49.1,SOUTH AMERICA,C,1110236454.0
1394,Daniel Quintero,Colombia,49.1,SOUTH AMERICA,C,1097150360.0
1395,Juan Camilo Quintero,Colombia,49.1,SOUTH AMERICA,Stub,1015926064.0
1396,Manuel María Ramírez Fortoul,Colombia,49.1,SOUTH AMERICA,Start,1009609097.0
1397,Juan José Reyes-Patria Escobar,Colombia,49.1,SOUTH AMERICA,C,1110346302.0
1398,Jorge Enrique Robledo,Colombia,49.1,SOUTH AMERICA,Start,1104503680.0
1399,Ángela Robledo,Colombia,49.1,SOUTH AMERICA,Start,1101671356.0
1400,Antonio Roldán Betancur,Colombia,49.1,SOUTH AMERICA,Start,1091776306.0
1401,Gabriel Camargo Salamanca,Colombia,49.1,SOUTH AMERICA,Start,1115402463.0
1402,Juana de J. Sarmiento,Colombia,49.1,SOUTH AMERICA,Start,1057118875.0
1403,Yaneth Giha Tovar,Colombia,49.1,SOUTH AMERICA,Stub,1109010810.0
1404,Eduardo Valencia Ospina,Colombia,49.1,SOUTH AMERICA,Start,1112726542.0
1405,José María Vergara y Vergara,Colombia,49.1,SOUTH AMERICA,Start,1069225799.0
1406,Luis Villar Borda,Colombia,49.1,SOUTH AMERICA,Stub,1098170341.0
1407,Luis Carlos Villegas Echeverri,Colombia,49.1,SOUTH AMERICA,Stub,1039895903.0
1408,Mouzawar Abdallah,Comoros,0.8,EASTERN AFRICA,Stub,1045629825.0
1409,Moustadroine Abdou,Comoros,0.8,EASTERN AFRICA,Stub,1112938235.0
1410,Ibrahim Aboubacar,Comoros,0.8,EASTERN AFRICA,Start,1104075788.0
1411,Mohamed Ahmed-Chamanga,Comoros,0.8,EASTERN AFRICA,Stub,962865723.0
1412,Saïd Ibrahim Ben Ali,Comoros,0.8,EASTERN AFRICA,Start,1051416555.0
1413,Mohamed Bacar,Comoros,0.8,EASTERN AFRICA,C,1045488214.0
1414,Chamina Ben Mohamed,Comoros,0.8,EASTERN AFRICA,Stub,1091671184.0
1415,Saïd Mohamed Cheikh,Comoros,0.8,EASTERN AFRICA,Start,1036446434.0
1416,Mohamed Dahalani,Comoros,0.8,EASTERN AFRICA,Stub,1070905174.0
1417,Dawiat Mohamed,Comoros,0.8,EASTERN AFRICA,Stub,1112068629.0
1418,Ahmed Ben Said Djaffar,Comoros,0.8,EASTERN AFRICA,Stub,1103330010.0
1419,Abdou Soulé Elbak,Comoros,0.8,EASTERN AFRICA,Stub,1039771007.0
1420,Fahmi Said Ibrahim,Comoros,0.8,EASTERN AFRICA,Stub,936630092.0
1421,Gaston Feuillard,Comoros,0.8,EASTERN AFRICA,Stub,906903655.0
1422,Siti Kassim,Comoros,0.8,EASTERN AFRICA,Start,1112069104.0
1423,Said Ali Kemal,Comoros,0.8,EASTERN AFRICA,Start,1054672013.0
1424,Sittou Raghadat Mohamed,Comoros,0.8,EASTERN AFRICA,Start,1069963767.0
1425,Djaffar Ahmed Said,Comoros,0.8,EASTERN AFRICA,Stub,1112420866.0
1426,Abdallah Said Sarouma,Comoros,0.8,EASTERN AFRICA,Stub,1043132737.0
1427,Moussa Toybou,Comoros,0.8,EASTERN AFRICA,Stub,790006774.0
1428,Léon Angor,Congo,6.0,MIDDLE AFRICA,Start,1077197673.0
1429,Joseph Badiabio,Congo,6.0,MIDDLE AFRICA,Start,1034243441.0
1430,Frédéric Bintsamou,Congo,6.0,MIDDLE AFRICA,Start,1058667713.0
1431,Jean-Jacques Bouya,Congo,6.0,MIDDLE AFRICA,C,1105758730.0
1432,Anatole Collinet Makosso,Congo,6.0,MIDDLE AFRICA,Start,1103554666.0
1433,Edgard Diafouka-Bambela,Congo,6.0,MIDDLE AFRICA,Start,1106259287.0
1434,Fidèle Dimou,Congo,6.0,MIDDLE AFRICA,Start,1106164994.0
1435,Gabriel Entcha-Ebia,Congo,6.0,MIDDLE AFRICA,Start,1106165202.0
1436,Gabriel Valère Eteka Yemet,Congo,6.0,MIDDLE AFRICA,Start,1099409330.0
1437,Albert Fourvelle,Congo,6.0,MIDDLE AFRICA,Stub,826516065.0
1438,Pascal Gamassa,Congo,6.0,MIDDLE AFRICA,C,1058791873.0
1439,Pierre Goura,Congo,6.0,MIDDLE AFRICA,Start,1093895340.0
1440,Gustave Aba-Gandzion,Congo,6.0,MIDDLE AFRICA,Stub,1109342095.0
1441,Joseph Hondjuila Miokono,Congo,6.0,MIDDLE AFRICA,Start,1110821843.0
1442,André Kerhervé,Congo,6.0,MIDDLE AFRICA,Stub,938502932.0
1443,Pierre Mabiala,Congo,6.0,MIDDLE AFRICA,C,1103554982.0
1444,Alice Mahoungou,Congo,6.0,MIDDLE AFRICA,Stub,1045092171.0
1445,Paulin Makaya,Congo,6.0,MIDDLE AFRICA,C,1112682469.0
1446,Jean-Pierre Makouta-Mboukou,Congo,6.0,MIDDLE AFRICA,C,1043693914.0
1447,Jean Malonga,Congo,6.0,MIDDLE AFRICA,Stub,1079975770.0
1448,André Matsoua,Congo,6.0,MIDDLE AFRICA,Start,1112277858.0
1449,Ferdinand Mbahou,Congo,6.0,MIDDLE AFRICA,Start,1016976234.0
1450,Justin Mikolo-Kinzonzi,Congo,6.0,MIDDLE AFRICA,Start,1110228735.0
1451,Bonaventure Mizidy,Congo,6.0,MIDDLE AFRICA,Stub,976591922.0
1452,Émile Mokoko Wongolo,Congo,6.0,MIDDLE AFRICA,Start,1106513766.0
1453,Jean-Marie Mokoko,Congo,6.0,MIDDLE AFRICA,C,1084934250.0
1454,René-Dambert Ndouane,Congo,6.0,MIDDLE AFRICA,C,934383492.0
1455,Jean-Dominique Okemba,Congo,6.0,MIDDLE AFRICA,C,1080590362.0
1456,Denis-Christel Sassou Nguesso,Congo,6.0,MIDDLE AFRICA,C,1112420082.0
1457,Arlette Soudan-Nonault,Congo,6.0,MIDDLE AFRICA,Start,1112681568.0
1458,Jean Félix Demba Telo,Congo,6.0,MIDDLE AFRICA,Stub,1106155664.0
1459,Abel Thauley-Ganga,Congo,6.0,MIDDLE AFRICA,Stub,1108165600.0
1460,Georges Yhambot,Congo,6.0,MIDDLE AFRICA,Stub,1109906450.0
1461,Jean Andeka,"Congo, Dem. Rep.",99.0,MIDDLE AFRICA,Stub,1053665857.0
1462,Daniel Aselo Okito,"Congo, Dem. Rep.",99.0,MIDDLE AFRICA,Stub,1100883853.0
1463,Bertrand Bisimwa,"Congo, Dem. Rep.",99.0,MIDDLE AFRICA,Start,1053663824.0
1464,Adam Bombolé,"Congo, Dem. Rep.",99.0,MIDDLE AFRICA,Stub,1104298921.0
1465,Célestin Cibalonza Byaterana,"Congo, Dem. Rep.",99.0,MIDDLE AFRICA,Stub,1053664162.0
1466,Martin Parfait Aimé Coussoud-Mavoungou,"Congo, Dem. Rep.",99.0,MIDDLE AFRICA,Start,1097239808.0
1467,Emmanuel Dungia,"Congo, Dem. Rep.",99.0,MIDDLE AFRICA,C,1060647113.0
1468,Ferdinand Essandja,"Congo, Dem. Rep.",99.0,MIDDLE AFRICA,Stub,995332258.0
1469,Lugi Gizenga,"Congo, Dem. Rep.",99.0,MIDDLE AFRICA,Start,1107018797.0
1470,Clovis Kabongo Malemba,"Congo, Dem. Rep.",99.0,MIDDLE AFRICA,Stub,1053664088.0
1471,Odilon Kafitwe wa pa Bowa,"Congo, Dem. Rep.",99.0,MIDDLE AFRICA,Stub,1063619600.0
1472,François Nicéphore Kakese,"Congo, Dem. Rep.",99.0,MIDDLE AFRICA,Stub,1053664863.0
1473,Kalenga Riziki Lwango II,"Congo, Dem. Rep.",99.0,MIDDLE AFRICA,Start,1054264870.0
1474,Jean Collins Musonda Kalusambo,"Congo, Dem. Rep.",99.0,MIDDLE AFRICA,Stub,1053665874.0
1475,Norman Kamosi,"Congo, Dem. Rep.",99.0,MIDDLE AFRICA,Stub,1066002475.0
1476,Oscar Kashala,"Congo, Dem. Rep.",99.0,MIDDLE AFRICA,Start,1087269353.0
1477,Banyingela Kasonga,"Congo, Dem. Rep.",99.0,MIDDLE AFRICA,Start,1112278142.0
1478,Pierre Honoré Kazadi Lukonda Ngube-Ngube,"Congo, Dem. Rep.",99.0,MIDDLE AFRICA,Stub,1002487446.0
1479,Jacques Kazadi,"Congo, Dem. Rep.",99.0,MIDDLE AFRICA,Start,1102558299.0
1480,Léon Kengo wa Dondo,"Congo, Dem. Rep.",99.0,MIDDLE AFRICA,C,1084896531.0
1481,Robert Kidiaba,"Congo, Dem. Rep.",99.0,MIDDLE AFRICA,Start,1105743947.0
1482,Seth Kikuni,"Congo, Dem. Rep.",99.0,MIDDLE AFRICA,Stub,1001659466.0
1483,Jean-Pierre Lola Kisanga,"Congo, Dem. Rep.",99.0,MIDDLE AFRICA,Stub,1108329438.0
1484,Delphin Kyubwa,"Congo, Dem. Rep.",99.0,MIDDLE AFRICA,Stub,1053664236.0
1485,Gabriel Kyungu wa Kumwanza,"Congo, Dem. Rep.",99.0,MIDDLE AFRICA,Start,1099410445.0
1486,Eric Lenge,"Congo, Dem. Rep.",99.0,MIDDLE AFRICA,Start,1053664625.0
1487,Faustin Luanga,"Congo, Dem. Rep.",99.0,MIDDLE AFRICA,C,1086274369.0
1488,Guy-Patrice Lumumba,"Congo, Dem. Rep.",99.0,MIDDLE AFRICA,Stub,1086692776.0
1489,Sultani Makenga,"Congo, Dem. Rep.",99.0,MIDDLE AFRICA,Start,1097897658.0
1490,Angèle Makombo,"Congo, Dem. Rep.",99.0,MIDDLE AFRICA,Stub,1081392396.0
1491,Christian Malanga,"Congo, Dem. Rep.",99.0,MIDDLE AFRICA,C,1106277637.0
1492,Franck Mwe di Malila,"Congo, Dem. Rep.",99.0,MIDDLE AFRICA,C,1053664857.0
1493,Anne Mbusu,"Congo, Dem. Rep.",99.0,MIDDLE AFRICA,Start,1101655545.0
1494,Munga Mibindo,"Congo, Dem. Rep.",99.0,MIDDLE AFRICA,Stub,1058408130.0
1495,Emile Mota,"Congo, Dem. Rep.",99.0,MIDDLE AFRICA,Start,1106209048.0
1496,Josué Alex Mukendi,"Congo, Dem. Rep.",99.0,MIDDLE AFRICA,Stub,1053666052.0
